Hydrologic Region,Utility,Stage Invoked,Date,Population,Mandatory Restrictions,Production,Production 2013,Conservation target,% Residential,GPCD,Days allowed per week,Complaints,Warnings,Penalties,Penalties Assessment Rate,Utility_name,Year,Month,Type,County,City
San Francisco Bay,East Bay Municipal Utilities District,0,2017-01-15,1390000,No,3747100000.0,4099300000.0,0.0,62.0,53.91510791366907,7.0,97,1,0,0,East Bay MUD,2017,Jan,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,0,2016-12-15,1400000,No,3767400000.0,4772000000.0,0.0,62.0,53.82,7.0,0,0,0,0,East Bay MUD,2016,Dec,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,0,2016-11-15,1400000,No,3839100000.0,5148600000.0,0.0,61.0,55.75835714285714,7.0,0,0,0,0,East Bay MUD,2016,Nov,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,0,2016-10-15,1400000,No,4689900000.0,6175000000.0,0.0,60.0,64.8373271889401,7.0,0,0,0,0,East Bay MUD,2016,Oct,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,0,2016-09-15,1400000,No,5636200000.0,6528400000.0,0.0,61.0,81.85909523809524,7.0,98,8,0,0,East Bay MUD,2016,Sep,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,0,2016-08-15,1400000,No,6007500000.0,7172300000.0,0.0,61.0,84.43721198156682,7.0,176,2,0,0,East Bay MUD,2016,Aug,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,0,2016-07-15,1400000,No,6056600000.0,7452200000.0,0.0,60.0,83.73179723502304,,197,2,0,0,East Bay MUD,2016,Jul,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,0,2016-06-15,1400000,Yes,5675900000.0,6927500000.0,0.0,61.0,82.43569047619047,2.0,188,7,0,0,East Bay MUD,2016,Jun,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,4,2016-05-15,1400000,Yes,4959300000.0,6716500000.0,0.16,60.0,68.56175115207374,2.0,166,5,30,0,East Bay MUD,2016,May,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,4,2016-04-15,1400000,Yes,4018800000.0,5417500000.0,0.16,62.0,59.32514285714286,2.0,166,2,225,0,East Bay MUD,2016,Apr,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,Stage 4,2016-03-15,1400000,Yes,3765600000.0,4927500000.0,0.16,61.0,52.92663594470046,2.0,149,2,231,0,East Bay MUD,2016,Mar,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,Stage 4,2016-02-15,1400000,Yes,3500386206.8965516,4016400000.0,0.16,61.0,54.470295566502465,2.0,176,6,174,0,East Bay MUD,2016,Feb,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,4,2016-01-15,1400000,Yes,3736400000.0,4099300000.0,0.16,62.0,53.37714285714286,2.0,209,1,387,0,East Bay MUD,2016,Jan,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,Stage 4,2015-12-15,1390000,Yes,3713800000.0,4772000000.0,0.16,62.0,53.43597122302158,2.0,166,3,709,502,East Bay MUD,2015,Dec,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,Stage 4,2015-11-15,1390000,Yes,3875900000.0,5148600000.0,0.16,61.0,56.697817745803356,2.0,307,50,491,0,East Bay MUD,2015,Nov,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,Stage 4,2015-10-15,1390000,Yes,4881000000.0,6175000000.0,0.16,60.0,67.96472499419819,2.0,673,123,3217,0,East Bay MUD,2015,Oct,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,4,2015-09-15,1390000,Yes,5060700000.0,6528400000.0,0.16,61.0,74.02942446043166,2.0,535,40,0,0,East Bay MUD,2015,Sep,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,Stage 4,2015-08-15,1390000,Yes,5250500000.0,7172300000.0,0.16,61.0,74.32826641912277,2.0,653,43,0,0,East Bay MUD,2015,Aug,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,Stage 4,2015-07-15,1390000,Yes,5148500000.0,7452200000.0,0.16,60.0,71.68948711998144,2.0,740,35,0,0,East Bay MUD,2015,Jul,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,Stage 4,2015-06-15,1390000,Yes,4778200000.0,6927500000.0,0.16,61.0,69.8969304556355,2.0,990,85,0,0,East Bay MUD,2015,Jun,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,Stage 4,2015-05-15,1390000,Yes,4657700000.0,6716500000.0,,60.0,64.8554188906939,2.0,0,0,0,0,East Bay MUD,2015,May,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,Stage 4,2015-04-15,1390000,Yes,4456900000.0,5417500000.0,,62.0,66.26565947242206,2.0,0,0,0,0,East Bay MUD,2015,Apr,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,Moderate,2015-03-15,1390000,Yes,4650200000.0,4927500000.0,,61.0,65.8301694128568,2.0,0,0,0,0,East Bay MUD,2015,Mar,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,Moderate,2015-02-15,1390000,Yes,3765900000.0,4016400000.0,,61.0,59.0236125385406,,0,0,0,0,East Bay MUD,2015,Feb,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,Moderate,2015-01-15,1390000,,4096200000.0,4099300000.0,,62.0,58.93812949640288,,0,0,0,0,East Bay MUD,2015,Jan,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,Moderate,2014-12-15,1379000,Yes,3839000000.0,4772000000.0,,62.0,55.67802755620014,,0,0,0,0,East Bay MUD,2014,Dec,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,Moderate,2014-11-15,1379000,Yes,4195399999.9999995,5148600000.0,,61.0,61.86110708242687,,0,0,0,0,East Bay MUD,2014,Nov,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,Moderate,2014-10-15,1379000,Yes,5370600000.0,6175000000.0,,60.0,75.3786053474935,,0,0,0,0,East Bay MUD,2014,Oct,,Alameda,
San Francisco Bay,East Bay Municipal Utilities District,Moderate,2014-09-15,1379000,Yes,5682900000.0,6528400000.0,,61.0,83.79427121102248,,0,0,0,0,East Bay MUD,2014,Sep,,Alameda,
